 H Density=0.8988E-04
 Energy(eV), Delta, Beta
  30.  4.42321216E-05  1.2486651E-05
  30.2115593  4.36316914E-05  1.21430412E-05
  30.4246082  4.3042739E-05  1.18159141E-05
  30.6391602  4.24625869E-05  1.14993836E-05
  30.8552246  4.18911113E-05  1.11904401E-05
  31.0728111  4.13281559E-05  1.08889681E-05
  31.291935  4.07722109E-05  1.0595224E-05
  31.5126057  4.02219594E-05  1.03081093E-05
  31.734827  3.96791402E-05  1.00287853E-05
  31.9586201  3.91412323E-05  9.7570246E-06
  32.1839867  3.86104839E-05  9.49263904E-06
  32.4109497  3.80853817E-05  9.2354303E-06
  32.6395073  3.75666496E-05  8.98521012E-06
  32.8696785  3.70542948E-05  8.74175748E-06
  33.1014748  3.65478118E-05  8.50488686E-06
  33.3348999  3.60480808E-05  8.27443364E-06
  33.5699768  3.5553483E-05  8.05019044E-06
  33.8067093  3.50656701E-05  7.8320254E-06
  34.0451126  3.45830631E-05  7.61977162E-06
  34.2851944  3.41067716E-05  7.41327858E-06
  34.5269699  3.36363919E-05  7.21238575E-06
  34.7704506  3.31719239E-05  7.01694307E-06
  35.0156517  3.27134767E-05  6.82670998E-06
  35.2625809  3.22601809E-05  6.64138679E-06
  35.5112457  3.18131788E-05  6.46109811E-06
  35.761673  3.13710152E-05  6.28566841E-06
  36.0138588  3.09349562E-05  6.115004E-06
  36.2678261  3.05041158E-05  5.94897483E-06
  36.5235825  3.0078887E-05  5.78745448E-06
  36.7811432  2.96591606E-05  5.63030426E-06
  37.0405197  2.92446457E-05  5.47739864E-06
  37.3017273  2.88358206E-05  5.32863942E-06
  37.5647774  2.84318903E-05  5.18387787E-06
  37.8296776  2.80336244E-05  5.04305399E-06
  38.0964508  2.76401952E-05  4.90604089E-06
  38.3651047  2.72521338E-05  4.7727508E-06
  38.6356544  2.68690419E-05  4.64307459E-06
  38.9081116  2.64909504E-05  4.51691767E-06
  39.1824837  2.61180467E-05  4.394195E-06
  39.4587975  2.57499978E-05  4.27481973E-06
  39.7370605  2.53871331E-05  4.15868499E-06
  40.0172768  2.50288012E-05  4.04574394E-06
  40.2994804  2.46755008E-05  3.93586606E-06
  40.5836678  2.43271916E-05  3.82892131E-06
  40.8698578  2.39837991E-05  3.72486102E-06
  41.1580734  2.36449723E-05  3.62326796E-06
  41.4483147  2.33105475E-05  3.52395273E-06
  41.7406044  2.2980732E-05  3.42735893E-06
  42.0349579  2.265478E-05  3.33341131E-06
  42.3313828  2.23334537E-05  3.24203961E-06
  42.6298981  2.20163056E-05  3.1531697E-06
  42.9305229  2.17035886E-05  3.0667361E-06
  43.2332649  2.13950207E-05  2.98261034E-06
  43.5381432  2.10906164E-05  2.90074604E-06
  43.8451691  2.07904468E-05  2.82112364E-06
  44.1543655  2.04943008E-05  2.74367085E-06
  44.4657364  2.02023784E-05  2.66834604E-06
  44.7793045  1.99142105E-05  2.59506965E-06
  45.0950851  1.96301462E-05  2.52380505E-06
  45.4130936  1.93499654E-05  2.45449996E-06
  45.7333412  1.90737155E-05  2.38709958E-06
  46.055851  1.88012746E-05  2.3215448E-06
  46.3806305  1.85325516E-05  2.2577849E-06
